mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
karun nair,ranji_trophy,vidarbha,1,2,3,6,0.3333333333333333
krishna,syed_mushtaq_ali_trophy,pondicherry,1,10,7,18,0.3333333333333333
krishna,ranji_trophy,pondicherry,1,10,7,18,0.3333333333333333
shivam dube,ranji_trophy,mumbai,1,4,4,9,0.3333333333333333
shivam dube,syed_mushtaq_ali_trophy,mumbai,1,4,4,9,0.3333333333333333
roshan,syed_mushtaq_ali_trophy,sikkim,0,2,1,3,0.3333333333333333
kartik,syed_mushtaq_ali_trophy,rajasthan,0,2,1,3,0.3333333333333333
krish,col_c_k_nayudu,saurashtra,1,17,10,28,0.32142857142857145
arya,ranji_trophy,delhi,2,11,9,22,0.3181818181818182
arya,syed_mushtaq_ali_trophy,delhi,2,11,9,22,0.3181818181818182
ajay,col_c_k_nayudu,uttarakhand,0,9,4,13,0.3076923076923077
s chahar,syed_mushtaq_ali_trophy,arunachal pradesh,2,3,5,10,0.3
ansh,col_c_k_nayudu,uttarakhand,9,38,33,80,0.3
shreyas iyer,ranji_trophy,mumbai,3,8,9,20,0.3
shreyas iyer,syed_mushtaq_ali_trophy,mumbai,3,8,9,20,0.3
rajan,ranji_trophy,uttarakhand,2,3,5,10,0.3
rajan,syed_mushtaq_ali_trophy,uttarakhand,2,3,5,10,0.3
virat kohli,syed_mushtaq_ali_trophy,delhi,3,17,12,32,0.28125
virat kohli,ranji_trophy,delhi,3,17,12,32,0.28125
manit,col_c_k_nayudu,j  k,1,6,4,11,0.2727272727272727
shivam d,col_c_k_nayudu,vidarbha,1,6,4,11,0.2727272727272727
rohit shah,ranji_trophy,meghalaya,0,8,3,11,0.2727272727272727
rohit shah,syed_mushtaq_ali_trophy,meghalaya,0,8,3,11,0.2727272727272727
vaibhav suryavanshi,ranji_trophy,bihar,1,9,5,15,0.26666666666666666
vaibhav suryavanshi,syed_mushtaq_ali_trophy,bihar,1,9,5,15,0.26666666666666666
riyan parag,ranji_trophy,assam,4,23,15,42,0.2619047619047619
riyan parag,syed_mushtaq_ali_trophy,assam,4,23,15,42,0.2619047619047619
shubman gill,ranji_trophy,punjab,0,3,1,4,0.25
himan,ranji_trophy,meghalaya,1,1,2,4,0.25
himan,syed_mushtaq_ali_trophy,meghalaya,1,1,2,4,0.25
shubman gill,syed_mushtaq_ali_trophy,punjab,0,3,1,4,0.25
anshul kamboj,syed_mushtaq_ali_trophy,haryana,0,3,1,4,0.25
glenn maxwell,domestic_one_day,victoria,0,3,1,4,0.25
arun,syed_mushtaq_ali_trophy,hyderabad,5,14,13,32,0.25
arun,ranji_trophy,sikkim,5,14,13,32,0.25
shangkar,ranji_trophy,manipur,0,3,1,4,0.25
shangkar,syed_mushtaq_ali_trophy,manipur,0,3,1,4,0.25
ashutosh sharma,syed_mushtaq_ali_trophy,railways,0,3,1,4,0.25
arun,ranji_trophy,hyderabad,5,14,13,32,0.25
arun,syed_mushtaq_ali_trophy,sikkim,5,14,13,32,0.25
ashutosh sharma,ranji_trophy,railways,0,3,1,4,0.25
anshul kamboj,ranji_trophy,haryana,0,3,1,4,0.25
sunny,col_c_k_nayudu,tamil nadu,1,1,2,4,0.25
sunny,syed_mushtaq_ali_trophy,tamil nadu,1,1,2,4,0.25
deepak,col_c_k_nayudu,bihar,4,14,11,29,0.2413793103448276
deepak,ranji_trophy,manipur,4,14,11,29,0.2413793103448276
deepak,ranji_trophy,arunachal pradesh,4,14,11,29,0.2413793103448276
deepak,syed_mushtaq_ali_trophy,rajasthan,4,14,11,29,0.2413793103448276
deepak,ranji_trophy,rajasthan,4,14,11,29,0.2413793103448276
deepak,syed_mushtaq_ali_trophy,manipur,4,14,11,29,0.2413793103448276
deepak,syed_mushtaq_ali_trophy,arunachal pradesh,4,14,11,29,0.2413793103448276
shah,syed_mushtaq_ali_trophy,manipur,6,58,28,92,0.2391304347826087
shah,ranji_trophy,manipur,6,58,28,92,0.2391304347826087
simran,col_c_k_nayudu,arunachal pradesh,2,9,6,17,0.23529411764705882
hem,ranji_trophy,nagaland,139,292,308,739,0.22868741542625168
hem,syed_mushtaq_ali_trophy,nagaland,139,292,308,739,0.22868741542625168
rohit,syed_mushtaq_ali_trophy,andhra,54,279,168,501,0.2275449101796407
rohit,ranji_trophy,manipur,54,279,168,501,0.2275449101796407
rohit,col_c_k_nayudu,manipur,54,279,168,501,0.2275449101796407
rohit,col_c_k_nayudu,bihar,54,279,168,501,0.2275449101796407
rohit,col_c_k_nayudu,meghalaya,54,279,168,501,0.2275449101796407
rohit,syed_mushtaq_ali_trophy,manipur,54,279,168,501,0.2275449101796407
rohit sharma,ranji_trophy,j  k,7,20,17,44,0.22727272727272727
rohit sharma,syed_mushtaq_ali_trophy,j  k,7,20,17,44,0.22727272727272727
rohit sharma,ranji_trophy,mumbai,7,20,17,44,0.22727272727272727
rohit sharma,syed_mushtaq_ali_trophy,mumbai,7,20,17,44,0.22727272727272727
rohi,col_c_k_nayudu,uttarakhand,54,279,167,500,0.226
kuldeep,ranji_trophy,arunachal pradesh,3,15,9,27,0.2222222222222222
kuldeep,syed_mushtaq_ali_trophy,arunachal pradesh,3,15,9,27,0.2222222222222222
rahul,ranji_trophy,sikkim,17,39,37,93,0.21505376344086022
rahul,ranji_trophy,hyderabad,17,39,37,93,0.21505376344086022
rahul,syed_mushtaq_ali_trophy,arunachal pradesh,17,39,37,93,0.21505376344086022
rahul,syed_mushtaq_ali_trophy,hyderabad,17,39,37,93,0.21505376344086022
rahul,ranji_trophy,arunachal pradesh,17,39,37,93,0.21505376344086022
rahul,col_c_k_nayudu,nagaland,17,39,37,93,0.21505376344086022
